Kinase_UniprotID,name,pathways,Database
Q9HBG6,IFT122,HH,SignaLink
Q96RY7,IFT140,HH,SignaLink
Q8NEZ3,WDR19,HH,SignaLink
P49757,NUMB,Notch,SignaLink
P49336,CDK8,Notch,SignaLink
Q93074,MED12,WNT/Wingless,SignaLink
Q99835,SMO,HH,SignaLink
P07996,THBS1,Notch,SignaLink
P07996,THBS1,HH,SignaLink
Q16665,HIF1A,RTK|Notch,SignaLink
P07996,THBS1,RTK|Notch,SignaLink
P35916,FLT4,Notch,SignaLink
P07996,THBS1,TNF|RTK|IIP,SignaLink
Q15389,ANGPT1,RTK,SignaLink
P17948,FLT1,RTK|JAK/STAT,SignaLink
P16333,NCK1,BCR|RTK|TCR,SignaLink
P16671,CD36,RTK|TCR|IIP,SignaLink
P16410,CTLA4,TCR,SignaLink
P42081,CD86,TLR,SignaLink
O75144,ICOSLG,TLR,SignaLink
P42081,CD86,BCR|RTK,SignaLink
P32970,CD70,BCR|RTK,SignaLink
P23510,TNFSF4,BCR|RTK,SignaLink
O00182,LGALS9,BCR|RTK,SignaLink
P09429,HMGB1,BCR|RTK,SignaLink
P13688,CEACAM1,BCR|RTK,SignaLink
Q92692,NECTIN2,BCR|RTK,SignaLink
P15151,PVR,BCR|RTK,SignaLink
Q9NQS3,NECTIN3,BCR|RTK,SignaLink
Q15223,NECTIN1,BCR|RTK,SignaLink
P07948,LYN,BCR|TCR|IIP,SignaLink
P12931,SRC,RTK|TCR|IIP,SignaLink
P40200,CD96,RTK|TCR|IIP,SignaLink
Q495A1,TIGIT,RTK|TCR|IIP,SignaLink
Q9UM44,HHLA2,RTK|TCR,SignaLink
P05362,ICAM1,RTK|TCR|JAK/STAT,SignaLink
Q9Y490,TLN1,RTK|TCR|JAK/STAT,SignaLink
P05362,ICAM1,BCR|TCR|JAK/STAT,SignaLink
Q9Y490,TLN1,BCR|TCR|JAK/STAT,SignaLink
P43403,ZAP70,RTK|TCR,SignaLink
P05362,ICAM1,TCR,SignaLink
Q9Y490,TLN1,TCR,SignaLink
P35579,MYH9,TCR,SignaLink
P35579,MYH9,RTK|TCR,SignaLink
